"GENE","Pval.Imputed","Pval.Exome"
"AADAC",NA,0.213972772643765
"AADACL2",NA,0.00386624645309275
"AADACL2-AS1",NA,NA
"AADACP1",NA,NA
"AADAT",0.256993,0.753128998272314
"AARSD1",0.439516,0.324620964053961
"ABCA1",0.131112,0.158126790422947
"ABCA11P",0.183683,0.0203584827056593
"ABCB11",0.194714,0.353492138392503
"ABCB9",0.389475,0.07226658341587
"ABCC5",0.241477,0.130914631119296
"ABCC5-AS1",NA,NA
"ABCC6P1",NA,NA
"ABCD2",0.00032135,0.115028313167136
"ABCD4",0.888121,0.0038367215537457
"ABCF1",0.396941,0.0437474987601449
"ABHD16A",0.333932,0.419442909715829
"ABHD17A",NA,NA
"ACAD8",0.492685,0.139381819979249
"ACADVL",0.84758,0.152912755081117
"ACAP1",0.685493,0.20227396820217
"ACBD3",0.154033,0.0482687672791286
"ACBD3-AS1",NA,NA
"ACBD4",NA,0.282662488796975
"ACBD7",0.333159,0.00608186388637455
"ACBD7-DCLRE1CP1",NA,NA
"ACLY",0.332535,0.16018675010013
"ACMSD",NA,0.549062529844467
"ACTR1A",NA,0.493074860157551
"ACYP1",NA,0.227121626663516
"ADAM11",0.361974,0.436306088099198
"ADAM15",0.908846,0.339151715965105
"ADAMTS4",0.413557,0.0033415435041268
"ADAMTSL1",0.0594286,1.70864973463303e-05
"ADAMTSL5",0.176958,0.882059346605054
"ADAR",NA,0.468150608779951
"ADAT3",1,0.22219516998989
"ADCY5",0.851197,0.0128669075760979
"ADCY7",0.603832,0.290093509767757
"ADCY8",0.155731,0.528992050530887
"ADM",0.927599,0.0639838081975393
"ADRA2A",0.406743,0.679981905819281
"ADRA2B",0.590681,0.315279434222355
"AFMID",0.188033,0.0077454993281488
"AGER",0.324474,0.215878829549961
"AGGF1",0.64995,0.016296447730446
"AGPAT1",NA,0.214852315401191
"AHSP",0.215073,0.859599066869428
"AIF1",0.958209,0.46115091640443
"AKTIP",0.202195,0.277224338201868
"ALDH6A1",1,0.140524820843271
"ALDOA",NA,0.713576042484207
"ALOX12",0.0315656,0.323390632883671
"ALOX12-AS1",NA,NA
"ALOX12B",0.108717,0.00414181827075775
"ALOX12P2",NA,NA
"ALOX15B",0.0118765,0.0596202827987361
"ALOX15P1",NA,NA
"ALOXE3",0.459977,0.139521850163287
"AMH",0.352499,0.660346765936415
"AMPD3",0.126466,0.0738669248855033
"AMT",0.19659,0.621386546913998
"ANHX",NA,NA
"ANK2",NA,0.0154347299715744
"ANKDD1B",NA,NA
"ANKLE2",0.0200118,0.0185658288391261
"ANKRD18B",NA,NA
"ANKRD20A8P",NA,NA
"ANKRD36C",NA,NA
"ANKRD42",0.171699,0.477253316395152
"ANO6",0.624966,0.211133972235756
"ANXA2P2",NA,NA
"AOC2",0.652624,0.265208346012898
"AOC3",0.372885,0.066162724367522
"AOC4P",NA,NA
"AP3D1",0.248763,0.10109115251999
"APC2",0.109287,0.00254189643886416
"APEH",NA,0.0549010017965027
"APOA2",NA,0.353428561371818
"APOBR",0.0167162,0.213650883055117
"APOM",0.102545,0.141774532306158
"AQP10",0.731572,0.0431473296398084
"AQP3",NA,0.241916729930403
"AQP7",NA,0.000403361098226362
"AREL1",NA,NA
"ARGFX",1,0.0445043154210222
"ARHGAP27",0.714949,0.440619541430609
"ARHGAP30",0.237344,0.0916296485315888
"ARHGEF15",0.259669,0.0378682431220654
"ARHGEF2",NA,0.585776725836275
"ARID2",0.91576,0.115715952276221
"ARID3C",0.198018,0.370195711753099
"ARIH2",0.0468573,0.277290055168055
"ARIH2OS",NA,NA
"ARL11",0.2051,0.00515777630392056
"ARL14",0.577252,0.0901837061351562
"ARL17A",NA,0.047384654396307
"ARL17B",NA,0.138391803079828
"ARL3",NA,0.0657334215091541
"ARL4D",NA,0.152293453651621
"ARL6IP1",NA,0.578382676463185
"ARL6IP4",0.0559954,0.0520657035289609
"ARMC5",0.644121,0.188426862368963
"ARMH3",NA,NA
"ARSJ",0.245288,0.253433993418819
"ART3",0.0446115,0.124286683338048
"AS3MT",0.561781,0.151634891309078
"ASAP1",0.657571,0.155892301730871
"ASAP1-IT1",NA,NA
"ASAP1-IT2",NA,NA
"ASB16",0.539963,0.161228731826164
"ASB16-AS1",NA,NA
"ASGR1",NA,0.379281671173652
"ASGR2",NA,0.109146672994037
"ASH1L",0.242126,0.107834739533208
"ASH1L-AS1",NA,NA
"ASL",0.459125,0.0581331248343166
"ASPHD1",NA,0.714762167418501
"ASTL",0.251322,0.193299125319107
"ASXL3",0.71859,0.0632902114515015
"ATAT1",0.442011,0.212259863690535
"ATF6",0.12141,0.114906976153321
