"Gene","GTEX_BRAIN_all","GTEX_nigra","Astrocyte","DaN","Endothelial","GABA","Microglia","ODC","OPC"
"AADAC",0.0472215781900795,0.0460694202898551,0,1.28755806886891,0,0,4.10256410256409,0.408248796883229,0
"AADACL2",0.00737298144642181,0.0060405,NA,NA,NA,NA,NA,NA,NA
"AADACL2-AS1",0.00459902688375615,0.00363485507246377,NA,NA,NA,NA,NA,NA,NA
"AADACP1",0.0486612790609618,0.0445291594202899,NA,NA,NA,NA,NA,NA,NA
"AADAT",6.62669485043544,6.7065,15.7998000272669,34.9502053970285,8.63483291598308,15.1805676012083,5.2865054275078,17.6170647996127,17.5152004478542
"AARSD1",37.4050390003786,23.0883043478261,NA,NA,NA,NA,NA,NA,NA
"ABCA1",4.48078159787959,6.34911666666667,274.446714436012,49.6093567097593,160.440077688512,11.8516992558858,159.563316865555,60.6194604658902,95.7658689231003
"ABCA11P",4.0155662249148,2.26669420289855,NA,NA,NA,NA,NA,NA,NA
"ABCB11",0.02534534948883,0.0118971014492754,3.3115438709906,9.68821518430435,2.09381988123854,0,4.04326291317092,0.816412683632333,0.2371690927879
"ABCB9",6.17014396062098,3.7528384057971,62.7989135800145,49.5940120118565,51.2087589900567,51.9591783077913,19.457025905011,49.2791652973108,23.2369510471942
"ABCC5",28.160593449451,12.2687028985507,69.4646346050251,120.77004664129,76.4941293821205,144.726934873141,48.66722460169,64.7330173020602,92.358692266976
"ABCC5-AS1",0.0296193903824309,0.0182726811594203,NA,NA,NA,NA,NA,NA,NA
"ABCC6P1",0.210000423324498,0.195527971014493,NA,NA,NA,NA,NA,NA,NA
"ABCD2",4.02637772813328,2.22819782608696,38.1563347191699,31.466515114471,7.08069872335001,14.7479966987376,1.70095839792672,3.5277413855089,6.6346686563925
"ABCD4",20.0487440363499,14.6939057971014,123.951214765098,72.4960510979336,73.3243328237232,114.186988972463,90.4769572878461,120.007033902459,98.1352846532582
"ABCF1",20.6254464218099,15.017115942029,21.8483718500322,24.2868758662483,15.6694328738791,27.2942193722497,12.9603977864518,24.5186489041883,27.5335524671422
"ABHD16A",33.9512499053389,24.0411231884058,0.213309488176682,0,0,10.1448689087077,0,4.27591017528354,3.93928535018342
"ABHD17A",100.195104127225,72.11,31.6954150179492,11.1179936412386,44.9031431171923,20.5276942093649,36.0960573902921,85.7488763212654,23.2819760470043
"ACAD8",16.3636266565695,10.407652173913,28.033653491304,46.9085887097065,19.4529980387501,19.4023953503972,20.1319733213411,21.6393758540659,39.5542728551341
"ACADVL",158.849170768648,128.296014492754,317.515563882083,136.641769539912,275.951692332289,116.887152937771,55.3307255915579,65.7872182768801,79.6508118086979
"ACAP1",2.53609973494888,2.59116086956522,22.0513891888177,9.47970905562708,38.408271878154,12.4077616887851,29.9764288829472,16.5350410420851,8.14404077779685
"ACBD3",13.7193006436956,11.9612463768116,50.2331105850541,78.2906515377595,37.4534724067834,30.3168819109983,38.4707390199448,40.5034588805099,50.1714828119585
"ACBD3-AS1",0.118144452858766,0.0542134782608696,NA,NA,NA,NA,NA,NA,NA
"ACBD4",14.3194104505869,7.90242753623188,24.9420683902158,12.6717172606064,26.4350533358033,14.5757694669727,17.7563494395301,5.72142797545078,8.07408097247944
"ACBD7",24.620285800833,21.4828768115942,2.92387980244781,0,0,0,0,0.0827533969916353,0
"ACBD7-DCLRE1CP1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACLY",28.882469897766,25.4043550724638,30.877209845389,85.1864347930091,23.1842613388495,58.0225673770544,33.5989208812664,22.6148144062065,33.4599408274241
"ACMSD",0.0618969670579326,0.0393926811594203,6.15039922445881,5.92152614212126,2.47319061374699,22.1937648459486,12.0999573944345,9.52937685219944,20.4358654844907
"ACTR1A",75.4852854979175,68.6218115942029,39.5422513032802,81.5414457488089,49.7087854259708,58.6220999302641,22.3690711954246,41.8064174491991,43.4030923521812
"ACYP1",13.6286739871261,11.1747028985507,58.7622442133971,110.385182556284,37.6522709989817,101.533502907677,35.3432960212522,83.7896908979157,46.7885203104175
"ADAM11",54.9749080272624,6.01074275362319,5.09848534133327,4.08263946896885,0,23.3081332687124,1.60562936507756,1.76421436393409,10.5331398921835
"ADAM15",31.3881453994699,27.5295652173913,26.6584454651196,21.0997565649718,60.4002463085674,29.9477287752595,38.2817456254757,47.9340322408261,8.58012383383294
"ADAMTS4",6.80372411965165,13.2077101449275,27.644556501203,4.73181966839038,54.1827366593256,8.00006950149296,42.3990429148203,125.502034570756,18.8873911021019
"ADAMTSL1",0.473539904960242,0.0843941231884058,22.0442464242475,5.73821248862273,5.79127582437175,30.1658314079498,16.0774995368246,17.1038604468892,15.5401943165924
"ADAMTSL5",0.933534911018554,0.579963985507246,0.862629674805865,0,0,0,0,0.0663289882011181,0
"ADAR",64.3764237031427,43.2690579710145,91.3127413111555,80.7161256183785,104.998660717655,143.570551332265,118.633003527859,74.9592473637522,84.9522681399157
"ADAT3",2.48180748580083,2.44731666666667,NA,NA,NA,NA,NA,NA,NA
"ADCY5",32.5306501325256,16.6647391304348,34.9188440054401,71.7008731932637,74.1144984602064,45.6016470115219,51.3495533121258,122.425637752358,35.0638108220978
"ADCY7",1.37946347633472,2.13356855072464,35.798923121154,10.9176635048722,12.927941140665,5.2285892259454,151.547378700377,4.43581541691078,4.29901136085647
"ADCY8",5.43064104505869,6.07593260869565,244.196731117477,35.6629331129477,41.3262161887889,162.590044227255,16.5893884522415,10.3663668359004,109.02908318974
"ADM",11.3159557743279,19.9417028985507,273.947733438849,77.8895327113346,192.675716306819,10.461384875179,40.582635924193,5.62161483044804,67.7271871752737
"ADRA2A",4.35124791745551,2.05464202898551,2.70466431583627,5.00801189261933,0,2.03472237712901,0,0.191051101455531,0
"ADRA2B",1.27088994698978,0.85793384057971,0.197281072262085,0,0,0,0,0.153232983152697,0
"AFMID",18.174968875426,18.3985072463768,82.7462154961762,49.1649957663156,113.022479007454,22.1754355308325,90.4275153511709,167.912956692591,28.4870349456789
"AGER",8.61019704657327,4.55517391304348,9.19464967042923,0,1.14745674756298,1.09658501494646,9.13103909306282,2.77314115412441,8.85432572607863
"AGGF1",12.9329144263537,12.2224855072464,22.8399144528418,45.0450259882136,79.8080654477606,44.9080492426988,34.5170075898069,31.7968312553175,25.7839931913172
"AGPAT1",51.9334206739871,40.4585507246377,10.1540823423254,35.6594156555536,56.9575835522277,50.4169807227692,15.9619762882875,27.4465472904036,27.5887710232901
"AHSP",0.355725914426354,0.617654420289855,NA,NA,NA,NA,NA,NA,NA
"AIF1",22.4579960999621,45.6861376811594,62.7021065678535,6.11037076460028,30.1301907683098,1.96364042535917,238.539176082542,12.628617270635,13.8383368882945
"AKTIP",40.3668015903067,43.0110144927536,25.1730422489459,53.6996024041153,51.3716869782137,59.3354348227478,16.1891061464304,37.972799684484,32.6118832004124
"ALDH6A1",47.2595017039,41.2030434782609,43.8452814469286,20.2664338633207,26.5777002251958,16.3961436070435,19.9468979867534,52.194211248735,46.425885369971
"ALDOA",438.183237410072,353.458768115942,253.919326190447,1538.70316252867,463.097711656535,849.856971107853,192.824352445707,223.00267712995,230.997655538314
"ALOX12",0.622492953426732,0.37619731884058,2.90434735069017,0,2.02905608311014,0.356051559114172,5.27108537004366,3.52514406518128,0
"ALOX12-AS1",3.0347044301401,3.02241304347826,NA,NA,NA,NA,NA,NA,NA
"ALOX12B",0.939890776221128,0.416550072463768,1.24547597895351,6.27850542328934,0,4.39904387430942,3.87476768612605,1.26802333069553,1.62783467059951
"ALOX12P2",0.563239101098069,0.296577898550725,NA,NA,NA,NA,NA,NA,NA
"ALOX15B",0.804832513063234,0.829326717391304,1.05335895102302,0,3.54034936167501,0,24.3706020004166,0.856867558336742,0.769712727815726
"ALOX15P1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALOXE3",1.403970119273,0.289125768115942,0.613180677660966,4.72732773617729,0,0,0,1.15890772874714,0
"AMH",6.48277064748201,1.44005144927536,NA,NA,NA,NA,NA,NA,NA
"AMPD3",6.12196648996592,11.6290072463768,57.0791621864294,63.5965355475254,68.3795949636192,28.5574461200771,96.4041686006788,121.009332772855,29.0026292240091
"AMT",22.0577747065505,8.12925362318841,49.0674656914648,10.545146255412,20.1549803864487,13.4153664776195,26.7848156377224,20.962018674208,35.0984676734237
"ANHX",0.0151302904202953,0.00328317391304348,NA,NA,NA,NA,NA,NA,NA
