"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",1,"ADAM15",0,130
"META5",1,"ADAR",0,647
"META5",1,"AQP10",0,50
"META5",1,"ARHGEF2",0,35
"META5",1,"ASH1L",0,62
"META5",1,"ASH1L-AS1",0,0
"META5",1,"ATP8B2",0,11
"META5",1,"C1orf189",0,0
"META5",1,"C1orf43",0,4
"META5",1,"CHRNB2",1,130
"META5",1,"CKS1B",0,72
"META5",1,"CLK2",0,62
"META5",1,"CREB3L4",0,21
"META5",1,"CRTC2",0,160
"META5",1,"DAP3",0,61
"META5",1,"DCST1",0,9
"META5",1,"DCST1-AS1",0,7
"META5",1,"DCST2",0,1
"META5",1,"DENND4B",0,0
"META5",1,"DPM3",0,28
"META5",1,"EFNA1",0,59
"META5",1,"EFNA3",1,44
"META5",1,"EFNA4",0,25
"META5",1,"FAM189B",0,2
"META5",1,"FDPS",0,726
"META5",1,"FLAD1",0,24
"META5",1,"GBA",385,1117
"META5",1,"GBAP1",3,8
"META5",1,"GON4L",0,11
"META5",1,"HAX1",0,125
"META5",1,"HCN3",2,91
"META5",1,"IL6R",0,440
"META5",1,"IL6R-AS1",0,0
"META5",1,"JTB",0,22
"META5",1,"KCNN3",0,103
"META5",1,"KHDC4",0,0
"META5",1,"KRTCAP2",0,1
"META5",1,"LAMTOR2",0,28
"META5",1,"LENEP",0,0
"META5",1,"LMNA",0,1392
"META5",1,"LOC101928120",0,0
"META5",1,"MEX3A",0,11
"META5",1,"MIR190B",0,2
"META5",1,"MIR4258",0,1
"META5",1,"MIR555",0,0
"META5",1,"MIR5698",0,0
"META5",1,"MIR6737",0,0
"META5",1,"MIR6738",0,0
"META5",1,"MIR92B",0,6
"META5",1,"MSTO1",0,9
"META5",1,"MSTO2P",0,4
"META5",1,"MTX1",1,42
"META5",1,"MUC1",0,4133
"META5",1,"NUP210L",0,1
"META5",1,"PBXIP1",0,15
"META5",1,"PKLR",0,185
"META5",1,"PMF1",0,36
"META5",1,"PMF1-BGLAP",0,0
