GENE,GWAS,LOC_NUM
ADAM15,META5,1
ADAR,META5,1
AQP10,META5,1
ARHGEF2,META5,1
ASH1L,META5,1
ASH1L-AS1,META5,1
ATP8B2,META5,1
C1orf189,META5,1
C1orf43,META5,1
CHRNB2,META5,1
CKS1B,META5,1
CLK2,META5,1
CREB3L4,META5,1
CRTC2,META5,1
DAP3,META5,1
DCST1,META5,1
DCST1-AS1,META5,1
DCST2,META5,1
DENND4B,META5,1
DPM3,META5,1
EFNA1,META5,1
EFNA3,META5,1
EFNA4,META5,1
FAM189B,META5,1
FDPS,META5,1
FLAD1,META5,1
GBA,META5,1
GBAP1,META5,1
GON4L,META5,1
HAX1,META5,1
HCN3,META5,1
IL6R,META5,1
IL6R-AS1,META5,1
JTB,META5,1
KCNN3,META5,1
KHDC4,META5,1
KRTCAP2,META5,1
LAMTOR2,META5,1
LENEP,META5,1
LMNA,META5,1
LOC101928120,META5,1
MEX3A,META5,1
MIR190B,META5,1
MIR4258,META5,1
MIR555,META5,1
MIR5698,META5,1
MIR6737,META5,1
MIR6738,META5,1
MIR92B,META5,1
MSTO1,META5,1
MSTO2P,META5,1
MTX1,META5,1
MUC1,META5,1
NUP210L,META5,1
PBXIP1,META5,1
PKLR,META5,1
PMF1,META5,1
PMF1-BGLAP,META5,1
PMVK,META5,1
POU5F1P4,META5,1
PYGO2,META5,1
RAB13,META5,1
RAB25,META5,1
RIT1,META5,1
RPS27,META5,1
RUSC1,META5,1
RUSC1-AS1,META5,1
RXFP4,META5,1
SCAMP3,META5,1
SCARNA26A,META5,1
SCARNA26B,META5,1
SCARNA4,META5,1
SEMA4A,META5,1
SHC1,META5,1
SHE,META5,1
SLC25A44,META5,1
SLC39A1,META5,1
SLC50A1,META5,1
SNORA58B,META5,1
SNORA80E,META5,1
SSR2,META5,1
SYT11,META5,1
TDRD10,META5,1
THBS3,META5,1
TPM3,META5,1
TRIM46,META5,1
UBAP2L,META5,1
UBE2Q1,META5,1
UBE2Q1-AS1,META5,1
